num_rounds,num_clients,final_accuracy,best_accuracy(roundNumber)
20,10,0.978600025177002,0.9787999987602234(18)
20,2,0.98089998960495,0.981599986553192(15)
20,25,0.9743000268936156,0.9743000268936156(20)
20,5,0.9786999821662904,0.979099988937378(11)
20,20,0.9779000282287598,0.9779000282287598(20)
20,15,0.9771999716758728,0.9771999716758728(20)
5,10,0.9735999703407288,0.9735999703407288(5)
5,2,0.9810000061988832,0.9810000061988832(5)
5,25,0.9610000252723694,0.9610000252723694(5)
5,5,0.9781000018119812,0.9781000018119812(5)
5,20,0.9639999866485596,0.9639999866485596(5)
5,15,0.9684000015258788,0.9684000015258788(5)
10,10,0.9767000079154968,0.9767000079154968(10)
10,2,0.9800000190734864,0.9819999933242798(8)
10,25,0.9695000052452089,0.9695000052452089(10)
10,5,0.9800999760627748,0.9800999760627748(9)
10,20,0.9711999893188475,0.9711999893188475(10)
10,15,0.974399983882904,0.974399983882904(10)
2,10,0.9617000222206116,0.9617000222206116(2)
2,2,0.9793999791145324,0.9793999791145324(2)
2,25,0.9412000179290771,0.9412000179290771(2)
2,5,0.972000002861023,0.972000002861023(2)
2,20,0.9480000138282776,0.9480000138282776(2)
2,15,0.954800009727478,0.954800009727478(2)
15,10,0.9786999821662904,0.9786999821662904(15)
15,2,0.9797000288963318,0.9812999963760376(12)
15,25,0.9735999703407288,0.9735999703407288(15)
15,5,0.9801999926567078,0.9801999926567078(15)
15,20,0.9747999906539916,0.9747999906539916(15)
15,15,0.9763000011444092,0.9764000177383424(14)
25,10,0.9786999821662904,0.979300022125244(23)
25,2,0.9799000024795532,0.982200026512146(18)
25,25,0.974399983882904,0.9745000004768372(24)
25,5,0.9807000160217284,0.9811000227928162(24)
25,20,0.9764000177383424,0.9764999747276306(24)
25,15,0.9783999919891356,0.9783999919891356(25)
